fruit_id,color,length_cm,width_cm,kernel_mass_g,whole_fruit_weight_g,spot_coverage_percent,has_spots,oil_yield_percent,maturity_stage,length_width_ratio,kernel_fruit_ratio,color_encoded
TALISAY_01852,brown,6.41,5.35,0.806,44.7,28.6,True,55.53,fully_ripe,1.198,1.8,2
TALISAY_00674,yellow,5.47,4.08,0.401,29.0,0.0,False,57.8,mature,1.341,1.38,1
TALISAY_01664,brown,4.98,3.85,0.518,39.0,22.4,True,53.99,fully_ripe,1.294,1.33,2
TALISAY_01981,brown,7.0,5.2,0.768,60.0,0.0,False,58.13,fully_ripe,1.346,1.28,2
TALISAY_01083,yellow,5.45,4.78,0.503,36.1,0.0,False,58.96,mature,1.14,1.39,1
TALISAY_01922,brown,5.1,3.23,0.386,23.9,0.0,False,55.05,fully_ripe,1.579,1.62,2
TALISAY_00099,green,4.97,4.19,0.576,39.8,0.0,False,47.92,immature,1.186,1.45,0
TALISAY_01179,yellow,5.46,3.56,0.462,45.9,0.0,False,59.05,mature,1.534,1.01,1
TALISAY_00964,yellow,5.96,5.2,0.733,54.5,0.0,False,56.82,mature,1.146,1.34,1
TALISAY_00792,yellow,5.67,4.48,0.605,41.5,0.0,False,60.52,mature,1.266,1.46,1
TALISAY_00029,green,6.86,5.47,0.9,59.8,0.0,False,50.4,immature,1.254,1.51,0
TALISAY_00628,yellow,5.04,3.42,0.346,24.1,0.0,False,57.44,mature,1.474,1.44,1
TALISAY_00944,yellow,5.14,3.48,0.499,36.8,12.8,True,59.75,mature,1.477,1.36,1
TALISAY_00572,yellow,6.53,5.41,0.9,59.9,0.0,False,60.59,mature,1.207,1.5,1
TALISAY_00907,yellow,5.69,3.88,0.457,39.1,0.0,False,59.06,mature,1.466,1.17,1
TALISAY_01080,yellow,5.75,3.91,0.536,40.9,0.0,False,57.69,mature,1.471,1.31,1
TALISAY_00450,green,5.07,3.46,0.492,26.4,32.1,True,48.07,immature,1.465,1.86,0
TALISAY_01609,brown,6.54,4.1,0.9,60.0,0.0,False,57.44,fully_ripe,1.595,1.5,2
TALISAY_01290,yellow,5.91,4.81,0.73,45.9,0.0,False,61.4,mature,1.229,1.59,1
TALISAY_01078,yellow,6.76,4.46,0.834,55.1,16.9,True,59.41,mature,1.516,1.51,1
TALISAY_00254,green,6.74,5.44,0.9,60.0,22.3,True,45.47,immature,1.239,1.5,0
TALISAY_00124,green,6.63,4.94,0.708,50.6,38.5,True,48.43,immature,1.342,1.4,0
TALISAY_01927,brown,4.79,3.64,0.384,45.1,0.0,False,53.24,fully_ripe,1.316,0.85,2
TALISAY_00251,green,6.29,5.18,0.9,55.5,8.9,True,48.43,immature,1.214,1.62,0
TALISAY_00585,yellow,6.12,4.61,0.691,40.0,0.0,False,56.15,mature,1.328,1.73,1
TALISAY_01568,brown,5.96,4.16,0.489,37.2,0.0,False,54.83,fully_ripe,1.433,1.31,2
TALISAY_00824,yellow,6.52,5.1,0.876,60.0,0.0,False,58.6,mature,1.278,1.46,1
TALISAY_00507,yellow,5.88,4.25,0.585,46.0,0.0,False,58.02,mature,1.384,1.27,1
TALISAY_00889,yellow,4.74,2.87,0.498,27.1,21.3,True,56.85,mature,1.652,1.84,1
TALISAY_00070,green,6.55,5.5,0.84,57.4,17.8,True,48.52,immature,1.191,1.46,0
TALISAY_01608,brown,5.38,4.58,0.569,42.5,0.0,False,53.3,fully_ripe,1.175,1.34,2
TALISAY_01532,brown,4.7,2.91,0.441,28.4,0.0,False,55.41,fully_ripe,1.615,1.55,2
TALISAY_00247,green,5.71,4.7,0.693,49.8,28.1,True,48.94,immature,1.215,1.39,0
TALISAY_01450,yellow,4.89,3.45,0.422,33.0,17.1,True,57.68,mature,1.417,1.28,1
TALISAY_00212,green,6.53,5.5,0.9,60.0,23.4,True,48.14,immature,1.187,1.5,0
TALISAY_00909,yellow,6.5,5.19,0.815,51.3,0.0,False,59.7,mature,1.252,1.59,1
TALISAY_01741,brown,7.0,5.38,0.9,60.0,0.0,False,57.53,fully_ripe,1.301,1.5,2
TALISAY_01244,yellow,6.66,5.15,0.9,60.0,11.0,True,61.64,mature,1.293,1.5,1
TALISAY_01696,brown,4.75,2.97,0.297,29.9,6.9,True,55.5,fully_ripe,1.599,0.99,2
TALISAY_01182,yellow,6.24,4.63,0.739,54.3,0.0,False,57.93,mature,1.348,1.36,1
TALISAY_00361,green,5.04,3.67,0.346,30.7,44.5,True,46.43,immature,1.373,1.13,0
TALISAY_01473,yellow,5.51,4.46,0.615,44.6,0.0,False,57.99,mature,1.235,1.38,1
TALISAY_00678,yellow,6.55,5.3,0.8,57.0,0.0,False,59.75,mature,1.236,1.4,1
TALISAY_01621,brown,6.53,4.97,0.838,53.6,0.0,False,55.89,fully_ripe,1.314,1.56,2
TALISAY_01089,yellow,5.62,4.43,0.579,37.9,0.0,False,58.06,mature,1.269,1.53,1
TALISAY_01987,brown,5.38,4.37,0.429,44.7,0.0,False,54.48,fully_ripe,1.231,0.96,2
TALISAY_01847,brown,5.5,3.88,0.431,40.0,0.0,False,54.86,fully_ripe,1.418,1.08,2
TALISAY_00987,yellow,5.42,3.64,0.335,36.1,18.6,True,59.83,mature,1.489,0.93,1
TALISAY_01512,brown,5.69,3.65,0.666,39.6,0.0,False,56.13,fully_ripe,1.559,1.68,2
TALISAY_00111,green,6.87,5.0,0.894,49.3,8.5,True,49.42,immature,1.374,1.81,0
TALISAY_01487,yellow,6.48,5.5,0.9,60.0,0.0,False,60.74,mature,1.178,1.5,1
TALISAY_01453,yellow,5.44,3.28,0.259,28.5,0.0,False,57.1,mature,1.659,0.91,1
TALISAY_00383,green,6.39,5.47,0.692,49.2,40.1,True,48.33,immature,1.168,1.41,0
TALISAY_01395,yellow,5.8,4.1,0.557,39.0,19.6,True,57.08,mature,1.415,1.43,1
TALISAY_01054,yellow,5.21,4.42,0.582,32.4,3.8,False,59.61,mature,1.179,1.8,1
TALISAY_00755,yellow,5.19,3.29,0.412,34.8,0.0,False,58.22,mature,1.578,1.18,1
TALISAY_00324,green,6.21,5.07,0.705,53.9,20.1,True,49.46,immature,1.225,1.31,0
TALISAY_01623,brown,4.7,3.33,0.406,41.0,0.0,False,55.03,fully_ripe,1.411,0.99,2
TALISAY_00787,yellow,5.98,4.48,0.625,37.6,0.0,False,60.95,mature,1.335,1.66,1
TALISAY_00368,green,6.25,4.62,0.824,52.3,26.3,True,46.89,immature,1.353,1.58,0
TALISAY_01819,brown,6.3,5.26,0.716,44.3,25.3,True,54.94,fully_ripe,1.198,1.62,2
TALISAY_00069,green,5.77,3.97,0.528,48.4,21.0,True,45.16,immature,1.453,1.09,0
TALISAY_00857,yellow,6.41,5.16,0.744,54.3,19.2,True,56.95,mature,1.242,1.37,1
TALISAY_01483,yellow,6.49,5.28,0.622,49.8,0.0,False,57.49,mature,1.229,1.25,1
TALISAY_01555,brown,5.56,3.66,0.46,37.7,0.0,False,55.9,fully_ripe,1.519,1.22,2
TALISAY_01691,brown,6.24,5.5,0.826,60.0,0.0,False,57.27,fully_ripe,1.135,1.38,2
TALISAY_01474,yellow,5.87,3.97,0.661,51.3,0.0,False,58.61,mature,1.479,1.29,1
TALISAY_01798,brown,6.38,5.35,0.638,42.3,10.7,True,56.95,fully_ripe,1.193,1.51,2
TALISAY_00478,green,5.02,3.07,0.402,30.2,31.1,True,46.86,immature,1.635,1.33,0
TALISAY_00281,green,4.75,2.7,0.32,27.3,0.0,False,45.0,immature,1.759,1.17,0
TALISAY_01647,brown,5.26,3.65,0.433,41.6,0.0,False,54.48,fully_ripe,1.441,1.04,2
TALISAY_01556,brown,6.16,5.06,0.841,60.0,0.0,False,57.32,fully_ripe,1.217,1.4,2
TALISAY_01729,brown,7.0,5.04,0.9,59.4,7.9,True,54.81,fully_ripe,1.389,1.52,2
TALISAY_00210,green,6.11,4.04,0.695,47.3,24.8,True,47.18,immature,1.512,1.47,0
TALISAY_00297,green,5.81,3.91,0.72,48.1,48.9,True,49.01,immature,1.486,1.5,0
TALISAY_01884,brown,5.27,3.64,0.502,42.2,0.0,False,53.88,fully_ripe,1.448,1.19,2
TALISAY_01833,brown,4.63,3.2,0.367,33.0,0.0,False,55.03,fully_ripe,1.447,1.11,2
TALISAY_00651,yellow,6.64,4.52,0.781,57.0,10.3,True,58.04,mature,1.469,1.37,1
TALISAY_01233,yellow,5.42,3.89,0.451,29.0,16.3,True,58.81,mature,1.393,1.56,1
TALISAY_01502,brown,6.07,4.54,0.564,48.0,0.0,False,55.22,fully_ripe,1.337,1.17,2
TALISAY_01931,brown,5.82,4.46,0.683,50.1,0.0,False,57.39,fully_ripe,1.305,1.36,2
TALISAY_00916,yellow,7.0,4.76,0.806,56.4,0.0,False,58.28,mature,1.471,1.43,1
TALISAY_00993,yellow,5.3,3.52,0.524,31.6,0.0,False,57.83,mature,1.506,1.66,1
TALISAY_00429,green,5.58,3.89,0.533,35.6,0.0,False,46.7,immature,1.434,1.5,0
TALISAY_01370,yellow,7.0,5.34,0.774,56.8,0.0,False,59.18,mature,1.311,1.36,1
TALISAY_00239,green,6.12,4.36,0.728,42.0,0.0,False,45.0,immature,1.404,1.73,0
TALISAY_00879,yellow,6.46,4.29,0.573,49.5,0.0,False,58.16,mature,1.506,1.16,1
TALISAY_00620,yellow,6.38,5.15,0.755,52.8,10.9,True,59.76,mature,1.239,1.43,1
TALISAY_00256,green,6.57,4.11,0.737,53.3,0.0,False,47.09,immature,1.599,1.38,0
TALISAY_00611,yellow,6.73,5.5,0.73,53.3,0.0,False,59.27,mature,1.224,1.37,1
TALISAY_00544,yellow,7.0,5.04,0.9,58.2,0.0,False,58.53,mature,1.389,1.55,1
TALISAY_00771,yellow,5.95,4.39,0.612,41.3,17.6,True,59.62,mature,1.355,1.48,1
TALISAY_01419,yellow,4.31,3.45,0.325,28.0,0.0,False,58.46,mature,1.249,1.16,1
TALISAY_01041,yellow,5.86,4.12,0.623,38.3,0.0,False,60.57,mature,1.422,1.63,1
TALISAY_01789,brown,4.41,3.33,0.399,30.1,22.1,True,54.82,fully_ripe,1.324,1.33,2
TALISAY_00759,yellow,6.82,4.86,0.806,48.7,19.8,True,59.39,mature,1.403,1.66,1
TALISAY_00382,green,6.55,5.21,0.667,48.1,0.0,False,45.9,immature,1.257,1.39,0
TALISAY_01103,yellow,5.27,3.89,0.512,30.6,12.4,True,57.97,mature,1.355,1.67,1
TALISAY_00973,yellow,6.38,4.84,0.8,44.0,0.0,False,56.91,mature,1.318,1.82,1
TALISAY_00352,green,6.93,5.32,0.855,58.3,32.5,True,49.22,immature,1.303,1.47,0
TALISAY_01605,brown,6.0,4.04,0.549,43.2,0.0,False,55.47,fully_ripe,1.485,1.27,2
TALISAY_01825,brown,7.0,5.1,0.845,53.8,0.0,False,56.91,fully_ripe,1.373,1.57,2
TALISAY_01036,yellow,6.65,4.38,0.659,51.4,0.0,False,61.31,mature,1.518,1.28,1
TALISAY_01107,yellow,6.33,5.44,0.83,46.9,0.0,False,60.97,mature,1.164,1.77,1
TALISAY_00494,green,4.46,3.34,0.476,20.4,28.4,True,45.45,immature,1.335,2.33,0
TALISAY_00393,green,4.52,2.77,0.186,32.7,0.0,False,48.13,immature,1.632,0.57,0
TALISAY_01546,brown,4.84,2.95,0.252,28.9,0.0,False,54.28,fully_ripe,1.641,0.87,2
TALISAY_00464,green,6.4,5.28,0.822,58.7,6.2,True,47.68,immature,1.212,1.4,0
TALISAY_00886,yellow,5.61,3.11,0.354,40.4,0.0,False,55.81,mature,1.804,0.88,1
TALISAY_01193,yellow,5.53,4.54,0.792,48.0,0.0,False,60.97,mature,1.218,1.65,1
TALISAY_00366,green,6.19,4.76,0.674,53.2,35.2,True,49.84,immature,1.3,1.27,0
TALISAY_01893,brown,4.64,3.6,0.479,37.4,17.6,True,56.01,fully_ripe,1.289,1.28,2
TALISAY_01873,brown,6.67,4.48,0.607,50.3,0.0,False,55.14,fully_ripe,1.489,1.21,2
TALISAY_00744,yellow,7.0,5.5,0.719,60.0,0.0,False,58.2,mature,1.273,1.2,1
TALISAY_00529,yellow,6.49,5.14,0.9,60.0,0.0,False,59.54,mature,1.263,1.5,1
TALISAY_00802,yellow,6.14,4.43,0.819,51.7,7.4,True,58.12,mature,1.386,1.58,1
TALISAY_01223,yellow,4.98,3.85,0.513,39.1,0.0,False,58.56,mature,1.294,1.31,1
TALISAY_01978,brown,5.94,4.08,0.399,43.6,0.0,False,55.65,fully_ripe,1.456,0.92,2
TALISAY_01905,brown,6.01,3.55,0.669,41.5,0.0,False,55.74,fully_ripe,1.693,1.61,2
TALISAY_01699,brown,6.8,5.3,0.9,49.3,0.0,False,57.31,fully_ripe,1.283,1.83,2
TALISAY_01544,brown,5.66,4.03,0.366,37.8,0.0,False,54.96,fully_ripe,1.404,0.97,2
TALISAY_01313,yellow,5.11,3.69,0.473,37.9,12.2,True,57.92,mature,1.385,1.25,1
TALISAY_00306,green,4.93,3.77,0.329,37.2,31.7,True,46.56,immature,1.308,0.88,0
TALISAY_01666,brown,6.79,5.09,0.827,50.8,0.0,False,57.13,fully_ripe,1.334,1.63,2
TALISAY_00862,yellow,4.92,3.78,0.414,27.0,0.0,False,59.46,mature,1.302,1.53,1
TALISAY_01566,brown,4.38,3.07,0.278,28.8,0.0,False,53.63,fully_ripe,1.427,0.97,2
TALISAY_00530,yellow,6.34,4.81,0.662,56.7,0.0,False,60.29,mature,1.318,1.17,1
TALISAY_00654,yellow,6.47,4.96,0.759,60.0,0.0,False,61.33,mature,1.304,1.26,1
TALISAY_01259,yellow,7.0,5.5,0.864,56.7,0.0,False,61.57,mature,1.273,1.52,1
TALISAY_00233,green,6.47,5.5,0.827,52.9,0.0,False,45.46,immature,1.176,1.56,0
TALISAY_00120,green,5.79,4.34,0.688,48.3,0.0,False,46.52,immature,1.334,1.42,0
TALISAY_01697,brown,6.26,5.18,0.55,55.3,0.0,False,53.56,fully_ripe,1.208,0.99,2
TALISAY_00949,yellow,6.19,4.52,0.763,51.4,0.0,False,59.61,mature,1.369,1.48,1
TALISAY_00617,yellow,5.03,3.69,0.439,40.5,0.0,False,59.42,mature,1.363,1.08,1
TALISAY_01178,yellow,6.6,5.48,0.9,60.0,0.0,False,61.02,mature,1.204,1.5,1
TALISAY_00307,green,6.76,5.5,0.843,59.5,0.0,False,49.32,immature,1.229,1.42,0
TALISAY_00135,green,5.58,3.28,0.451,27.7,0.0,False,47.64,immature,1.701,1.63,0
TALISAY_00554,yellow,5.13,3.96,0.497,36.7,0.0,False,56.25,mature,1.295,1.35,1
TALISAY_01673,brown,4.59,2.94,0.374,32.8,0.0,False,54.59,fully_ripe,1.561,1.14,2
TALISAY_00583,yellow,5.88,3.82,0.707,40.6,0.0,False,59.38,mature,1.539,1.74,1
TALISAY_01640,brown,6.18,4.97,0.753,55.7,0.0,False,59.13,fully_ripe,1.243,1.35,2
TALISAY_00670,yellow,6.14,4.53,0.717,51.2,0.0,False,59.45,mature,1.355,1.4,1
TALISAY_00834,yellow,6.3,4.97,0.682,43.0,3.8,False,56.35,mature,1.268,1.59,1
TALISAY_00109,green,6.35,4.96,0.746,48.9,49.4,True,45.55,immature,1.28,1.53,0
TALISAY_01164,yellow,5.46,3.65,0.434,42.3,11.3,True,58.27,mature,1.496,1.03,1
TALISAY_01959,brown,5.21,3.15,0.53,38.3,25.0,True,53.66,fully_ripe,1.654,1.38,2
TALISAY_01464,yellow,6.16,5.5,0.9,59.3,0.0,False,60.59,mature,1.12,1.52,1
TALISAY_01728,brown,5.08,4.13,0.62,36.7,0.0,False,54.93,fully_ripe,1.23,1.69,2
TALISAY_01242,yellow,5.72,3.44,0.56,35.8,3.9,False,60.7,mature,1.663,1.56,1
TALISAY_00211,green,5.35,4.08,0.573,49.0,0.0,False,48.26,immature,1.311,1.17,0
TALISAY_01767,brown,5.48,4.01,0.583,42.0,0.0,False,56.62,fully_ripe,1.367,1.39,2
TALISAY_01120,yellow,5.48,4.86,0.561,40.3,15.2,True,58.69,mature,1.128,1.39,1
TALISAY_00679,yellow,6.07,4.63,0.602,41.8,0.0,False,60.33,mature,1.311,1.44,1
TALISAY_01950,brown,6.04,4.01,0.644,41.3,0.0,False,56.18,fully_ripe,1.506,1.56,2
TALISAY_01838,brown,4.56,2.77,0.31,24.7,0.0,False,54.45,fully_ripe,1.646,1.26,2
TALISAY_00411,green,7.0,5.09,0.792,59.2,20.5,True,47.04,immature,1.375,1.34,0
TALISAY_01324,yellow,6.56,5.17,0.9,60.0,0.0,False,61.36,mature,1.269,1.5,1
TALISAY_00782,yellow,4.47,3.21,0.389,34.4,0.0,False,58.02,mature,1.393,1.13,1
TALISAY_01345,yellow,7.0,5.5,0.859,60.0,0.0,False,60.6,mature,1.273,1.43,1
TALISAY_00874,yellow,5.06,3.87,0.468,36.9,0.0,False,58.17,mature,1.307,1.27,1
TALISAY_01652,brown,6.3,4.31,0.66,40.2,0.0,False,55.68,fully_ripe,1.462,1.64,2
TALISAY_01278,yellow,6.55,4.39,0.708,50.9,23.5,True,58.56,mature,1.492,1.39,1
TALISAY_00785,yellow,5.57,4.74,0.722,39.1,0.0,False,60.34,mature,1.175,1.85,1
TALISAY_01818,brown,6.2,5.03,0.746,57.3,0.0,False,54.51,fully_ripe,1.233,1.3,2
TALISAY_01198,yellow,4.68,3.59,0.462,33.9,0.0,False,58.52,mature,1.304,1.36,1
TALISAY_00807,yellow,6.2,4.3,0.72,44.9,0.0,False,60.47,mature,1.442,1.6,1
TALISAY_00712,yellow,4.49,2.7,0.411,39.1,0.0,False,59.09,mature,1.663,1.05,1
TALISAY_01990,brown,4.67,3.74,0.397,29.8,22.0,True,56.1,fully_ripe,1.249,1.33,2
TALISAY_01659,brown,5.3,3.63,0.553,40.7,0.0,False,57.41,fully_ripe,1.46,1.36,2
TALISAY_01190,yellow,6.19,5.5,0.773,53.5,0.0,False,59.79,mature,1.125,1.44,1
TALISAY_01225,yellow,4.88,3.79,0.552,44.0,23.7,True,58.19,mature,1.288,1.25,1
TALISAY_00602,yellow,6.08,4.73,0.561,47.1,0.0,False,59.67,mature,1.285,1.19,1
TALISAY_00270,green,5.44,2.7,0.382,31.8,44.1,True,46.96,immature,2.015,1.2,0
TALISAY_01384,yellow,5.62,3.93,0.64,48.4,0.0,False,61.47,mature,1.43,1.32,1
TALISAY_00231,green,7.0,5.5,0.878,60.0,44.7,True,50.75,immature,1.273,1.46,0
TALISAY_00049,green,6.13,5.05,0.765,45.5,0.0,False,46.86,immature,1.214,1.68,0
TALISAY_00462,green,7.0,5.5,0.801,55.0,35.3,True,46.55,immature,1.273,1.46,0
TALISAY_01105,yellow,5.21,3.9,0.428,36.1,0.0,False,60.04,mature,1.336,1.19,1
TALISAY_00855,yellow,6.12,4.73,0.782,48.7,0.0,False,62.16,mature,1.294,1.61,1
TALISAY_00693,yellow,5.1,3.84,0.316,33.3,0.0,False,57.43,mature,1.328,0.95,1
TALISAY_01551,brown,5.84,4.7,0.666,29.1,0.0,False,58.26,fully_ripe,1.243,2.29,2
TALISAY_01872,brown,4.97,3.95,0.472,26.6,0.0,False,55.52,fully_ripe,1.258,1.77,2
TALISAY_00526,yellow,4.81,3.27,0.298,29.8,0.0,False,56.16,mature,1.471,1.0,1
TALISAY_00173,green,4.8,3.4,0.451,32.2,0.0,False,46.84,immature,1.412,1.4,0
TALISAY_00720,yellow,6.38,4.26,0.707,43.6,0.0,False,60.25,mature,1.498,1.62,1
TALISAY_00414,green,6.27,5.5,0.872,53.2,0.0,False,48.18,immature,1.14,1.64,0
TALISAY_00237,green,6.76,5.41,0.701,55.4,14.6,True,50.76,immature,1.25,1.27,0
TALISAY_01472,yellow,6.3,5.27,0.629,44.8,0.0,False,57.97,mature,1.195,1.4,1
TALISAY_01335,yellow,5.27,3.65,0.259,37.2,0.0,False,57.95,mature,1.444,0.7,1
TALISAY_01063,yellow,6.26,4.94,0.677,51.4,21.6,True,59.8,mature,1.267,1.32,1
TALISAY_00023,green,6.28,4.36,0.72,43.1,48.8,True,46.78,immature,1.44,1.67,0
TALISAY_01766,brown,5.91,3.9,0.539,41.0,26.4,True,55.73,fully_ripe,1.515,1.31,2
TALISAY_00063,green,4.88,3.29,0.373,33.4,21.4,True,45.0,immature,1.483,1.12,0
TALISAY_00289,green,6.06,4.78,0.629,49.3,0.0,False,47.65,immature,1.268,1.28,0
TALISAY_00188,green,5.5,3.74,0.689,41.2,0.0,False,46.94,immature,1.471,1.67,0
TALISAY_00701,yellow,6.85,5.5,0.865,59.3,20.3,True,61.75,mature,1.245,1.46,1
TALISAY_01814,brown,5.01,3.49,0.46,34.9,0.0,False,55.03,fully_ripe,1.436,1.32,2
TALISAY_01137,yellow,5.37,4.66,0.662,45.5,0.0,False,59.55,mature,1.152,1.45,1
TALISAY_00354,green,4.38,2.7,0.333,27.7,32.3,True,45.0,immature,1.622,1.2,0
TALISAY_00416,green,4.91,3.94,0.402,23.9,31.8,True,45.0,immature,1.246,1.68,0
TALISAY_01245,yellow,5.9,4.17,0.601,53.0,0.0,False,57.25,mature,1.415,1.13,1
TALISAY_00930,yellow,6.34,4.08,0.462,35.8,0.0,False,58.04,mature,1.554,1.29,1
TALISAY_00196,green,6.72,4.66,0.654,59.3,10.5,True,49.65,immature,1.442,1.1,0
TALISAY_00579,yellow,6.18,4.8,0.704,47.4,0.0,False,58.06,mature,1.288,1.49,1
TALISAY_01134,yellow,6.46,4.02,0.742,47.3,0.0,False,57.26,mature,1.607,1.57,1
TALISAY_01813,brown,5.55,4.3,0.421,36.3,0.0,False,54.49,fully_ripe,1.291,1.16,2
TALISAY_01934,brown,5.03,3.34,0.295,32.2,0.0,False,55.29,fully_ripe,1.506,0.92,2
TALISAY_00433,green,6.71,5.5,0.6,58.1,6.8,True,45.0,immature,1.22,1.03,0
TALISAY_00100,green,5.78,4.3,0.584,43.6,29.4,True,45.33,immature,1.344,1.34,0
TALISAY_01654,brown,6.23,5.03,0.529,49.8,24.0,True,55.03,fully_ripe,1.239,1.06,2
TALISAY_00394,green,6.33,5.24,0.873,53.6,0.0,False,48.17,immature,1.208,1.63,0
TALISAY_01938,brown,6.79,5.14,0.846,52.9,0.0,False,56.94,fully_ripe,1.321,1.6,2
TALISAY_00220,green,5.43,3.25,0.509,30.6,48.7,True,45.0,immature,1.671,1.66,0
TALISAY_01675,brown,5.11,3.42,0.52,35.7,0.0,False,54.18,fully_ripe,1.494,1.46,2
TALISAY_01497,yellow,6.19,4.5,0.554,45.4,0.0,False,57.7,mature,1.376,1.22,1
TALISAY_01784,brown,5.69,4.43,0.737,54.8,0.0,False,55.88,fully_ripe,1.284,1.34,2
TALISAY_00344,green,6.42,5.47,0.741,49.1,0.0,False,49.63,immature,1.174,1.51,0
TALISAY_01027,yellow,4.13,3.59,0.202,29.5,0.0,False,57.98,mature,1.15,0.68,1
TALISAY_00888,yellow,5.13,3.57,0.403,23.7,0.0,False,56.37,mature,1.437,1.7,1
TALISAY_01350,yellow,5.41,4.08,0.563,36.2,0.0,False,58.31,mature,1.326,1.56,1
TALISAY_00552,yellow,5.05,3.77,0.537,35.0,0.0,False,57.44,mature,1.34,1.53,1
TALISAY_00743,yellow,5.72,4.15,0.482,34.2,7.8,True,59.53,mature,1.378,1.41,1
TALISAY_01541,brown,4.85,3.48,0.23,29.2,0.0,False,55.15,fully_ripe,1.394,0.79,2
TALISAY_00538,yellow,5.28,4.4,0.46,42.7,23.6,True,59.75,mature,1.2,1.08,1
TALISAY_00906,yellow,7.0,4.76,0.849,52.3,0.0,False,60.47,mature,1.471,1.62,1
TALISAY_01394,yellow,4.9,3.48,0.325,25.1,0.0,False,59.74,mature,1.408,1.29,1
TALISAY_00115,green,6.02,3.78,0.639,40.4,18.3,True,46.39,immature,1.593,1.58,0
TALISAY_00829,yellow,4.76,3.02,0.475,24.6,3.1,False,58.72,mature,1.576,1.93,1
TALISAY_01937,brown,5.1,3.7,0.57,35.1,8.0,True,52.87,fully_ripe,1.378,1.62,2
TALISAY_00808,yellow,6.08,5.06,0.9,46.6,0.0,False,59.82,mature,1.202,1.93,1
TALISAY_01310,yellow,6.65,5.01,0.582,49.9,0.0,False,59.67,mature,1.327,1.17,1
TALISAY_01004,yellow,5.38,4.18,0.756,48.6,0.0,False,59.95,mature,1.287,1.56,1
TALISAY_00305,green,6.42,5.5,0.64,51.4,25.0,True,47.47,immature,1.167,1.25,0
TALISAY_01100,yellow,5.22,3.86,0.6,36.4,0.0,False,56.81,mature,1.352,1.65,1
TALISAY_00479,green,5.87,3.99,0.577,52.6,7.5,True,46.08,immature,1.471,1.1,0
TALISAY_01423,yellow,6.11,4.14,0.815,47.7,2.0,False,59.55,mature,1.476,1.71,1
TALISAY_01075,yellow,6.55,4.91,0.709,57.2,0.0,False,60.39,mature,1.334,1.24,1
TALISAY_00570,yellow,5.56,4.65,0.756,45.9,0.0,False,58.46,mature,1.196,1.65,1
TALISAY_00618,yellow,5.87,4.23,0.626,41.5,14.5,True,59.52,mature,1.388,1.51,1
TALISAY_01897,brown,5.09,4.34,0.549,25.7,0.0,False,56.13,fully_ripe,1.173,2.14,2
TALISAY_01265,yellow,5.96,3.89,0.645,47.2,9.5,True,60.54,mature,1.532,1.37,1
TALISAY_00078,green,7.0,5.06,0.668,51.6,18.6,True,47.74,immature,1.383,1.29,0
TALISAY_01911,brown,5.97,5.19,0.814,53.3,0.0,False,58.73,fully_ripe,1.15,1.53,2
TALISAY_00032,green,4.86,3.65,0.465,32.4,33.7,True,45.0,immature,1.332,1.44,0
TALISAY_01537,brown,5.16,3.47,0.359,34.2,0.0,False,54.42,fully_ripe,1.487,1.05,2
